"value" "AUC" "True prevalence" "type" "mean" "lower CI" "upper CI" "size.interval"
"401" 0.3559 "0.8" 0.08 "Max Youden - uncorrected" 0.0524384014070356 0.0171232876712325 0.0862977602108039 0.0691744725395714
"402" 0.013 "0.8" 0.08 "High specificity - uncorrected" 0.0492570798826124 0.00798722044728347 0.0953815261044184 0.0873943056571349
"405" 0.2066 "0.9" 0.01 "Max Youden - uncorrected" 0.0161425526775386 -0.00596389426176666 0.0355921666148584 0.0415560608766251
"406" 0.0127 "0.9" 0.01 "High specificity - uncorrected" 0.0141262103754504 -0.003021148036254 0.0343999999999998 0.0374211480362538
"409" 0.2471 "0.9" 0.04 "Max Youden - uncorrected" 0.0502609578100677 0.029209621993127 0.0709866996597588 0.0417770776666318
"410" 0.0217 "0.9" 0.04 "High specificity - uncorrected" 0.0518424269785662 0.0284552845528458 0.07308009909166 0.0446248145388142
"415" 0.3234 "0.8" 0.01 "Max Youden - uncorrected" -0.0041876282050905 -0.0441445562671546 0.0313834329632791 0.0755279892304337
"416" 0.012 "0.8" 0.01 "High specificity - uncorrected" 0.023271764708173 -0.0306122448979591 0.0647482014388498 0.0953604463368089
"417" 0.3402 "0.8" 0.04 "Max Youden - uncorrected" 0.0642802310055831 0.0285455369279564 0.0983892033086633 0.0698436663807069
"418" 0.0134 "0.8" 0.04 "High specificity - uncorrected" 0.0374811200358851 0.00153846153846137 0.0719026548672561 0.0703641933287947
"419" 0.225 "0.9" 0.01 "Max Youden - uncorrected" 0.0215917474844148 0.000158428390367536 0.0434049079754601 0.0432464795850926
"420" 0.0134 "0.9" 0.01 "High specificity - uncorrected" 0.0169322347910907 -0.00374064837905265 0.035549399815328 0.0392900481943807
"421" 0.1774 "0.95" 0.04 "Max Youden - uncorrected" 0.0441331618553125 0.0288230584467575 0.0587230688386757 0.0299000103919182
"422" 0.0259 "0.95" 0.04 "High specificity - uncorrected" 0.0418598037966578 0.0255754475703325 0.0574174470182358 0.0318419994479033
"423" 0.2356 "0.9" 0.01 "Max Youden - uncorrected" 0.00975266982031264 -0.0139196456817462 0.0324116743471584 0.0463313200289046
"424" 0.0094 "0.9" 0.01 "High specificity - uncorrected" -0.00220653248054997 -0.0192307692307693 0.0176056338028169 0.0368364030335862
"433" 0.2895 "0.85" 0.01 "Max Youden - uncorrected" 0.0212433962366694 -0.00666928207140047 0.0471562275017998 0.0538255095732003
"434" 0.0119 "0.85" 0.01 "High specificity - uncorrected" 0.0151469754962988 -0.0180000000000002 0.0442176870748289 0.0622176870748291
